Id,Title,Author,Date,Url
1,Social media is doomed to die,ELLIS HAMBURGER,"Apr 18, 2023, 6:30 PM GMT+5:30",https://www.theverge.com/2023/4/18/23672769/social-media-inevitable-death-monetization-growth-hacks
2,"The Verge is nominated for three Webby Awards, and you can help us win!",VERGE STAFF,"Apr 18, 2023, 5:00 PM GMT+5:30",https://www.theverge.com/2023/4/18/23687373/webby-awards-2023-nominations-voting-peoples-voice-vergecast-full-frame
3,The Polestar 4 electric SUV packs a lot of punch in a small package,ANDREW J. HAWKINS,"Apr 18, 2023, 7:10 AM GMT+5:30",https://www.theverge.com/2023/4/17/23685255/polestar-4-electric-suv-specs-photos-price-date
4,Sonos’ exciting new product category is... commercial audio,CHRIS WELCH,"Apr 18, 2023, 6:30 PM GMT+5:30",https://www.theverge.com/2023/4/18/23686771/sonos-pro-commercial-audio-service-price-features
5,Withings’ latest smart scale features an ‘eyes closed’ mode,VICTORIA SONG,"Apr 18, 2023, 12:30 PM GMT+5:30",https://www.theverge.com/2023/4/18/23686670/withings-body-smart-smart-scale-eyes-closed
6,Outlook for Mac’s new profiles separate work and personal emails with colorful themes,TOM WARREN,"Apr 18, 2023, 3:37 PM GMT+5:30",https://www.theverge.com/2023/4/18/23687747/microsoft-outlook-for-mac-profiles-focus-feature
7,"GameStop’s buy one, get one free sale actually features some great games",SHEENA VASANI,"Apr 18, 2023, 7:00 PM GMT+5:30",https://www.theverge.com/2023/4/18/23686403/gamestop-bogo-video-game-sale-google-nest-apple-mac-mini-m2-deal
8,Adobe Lightroom’s latest AI-powered feature is chin-scratchingly specific,JESS WEATHERBED,"Apr 18, 2023, 6:57 PM GMT+5:30",https://www.theverge.com/2023/4/18/23687862/adobe-lightroom-update-adaptive-presets-beard-ai-features
9,"Panic says it’s sold more than 50,000 Playdate handhelds",ANDREW WEBSTER,"Apr 18, 2023, 6:47 PM GMT+5:30",https://www.theverge.com/2023/4/18/23687836/playdate-handheld-sales
10,"Bluesky’s CEO wants to build a Musk-proof, decentralized version of Twitter",ALEX HEATH,"Apr 18, 2023, 5:48 AM GMT+5:30",https://www.theverge.com/23686778/bluesky-ceo-jay-graber-interview-decentralized-social-media-twitter-mastodon
